agent,skill_luck_verdict,evidence_label,confidence_label,final_classification,stability_classification,verdict_reason,cumulative_return,annualized_sharpe,trade_level_return_ratio,max_drawdown,RCSI,RCSI_z,p_value,adjusted_p_value,p_value_prominence,actual_percentile,number_of_trades,number_of_periods,transaction_cost,research_grade,artifact_run_id,signal_count,trades_per_month,average_holding_bars,average_holding_days,average_holding_hours,activity_status,activity_warning
trend_pullback,Random / Luck,Random / Luck,Low,random / luck,unstable,The result is statistically consistent with the null distribution. raw p=0.369; BH-adjusted p=0.499; percentile=63.1; RCSI_z=0.011. Robustness stability: unstable. BH-adjusted p-value is shown for reference only and is not used by the final class label.,0.5963550455720921,0.2067402405755408,0.10794959134441562,-0.557789677045846,0.0133111412776494,0.0107311698027744,0.3693261347730454,0.4993001399720056,0.43258995910742637,63.08738252349531,95,6056,0.00047,True,run_20260404T003822Z_pid31514,95.0,0.3306910452881976,10.536842105263158,15.389473684210529,369.34736842105264,underactive,Too few trades for strong statistical power. Consider reviewing thresholds or sample length.
breakout_volume_momentum,Random / Luck,Random / Luck,Low,random / luck,stable,The result is statistically consistent with the null distribution. raw p=0.223; BH-adjusted p=0.499; percentile=77.7; RCSI_z=0.450. Robustness stability: stable. BH-adjusted p-value is shown for reference only and is not used by the final class label.,1.214950069451611,0.30908369346610365,0.1648611540003888,-0.38155162395000464,0.5605030247030808,0.4500152921012522,0.2229554089182163,0.4993001399720056,0.6517819871634883,77.7244551089782,96,6056,0.00047,True,run_20260404T003822Z_pid31514,96.0,0.3335235703686794,9.989583333333334,14.34375,344.25,underactive,Too few trades for strong statistical power. Consider reviewing thresholds or sample length.
mean_reversion_vol_filter,Random / Luck,Random / Luck,Low,random / luck,stable,The result is statistically consistent with the null distribution. raw p=0.381; BH-adjusted p=0.499; percentile=61.9; RCSI_z=0.265. Robustness stability: stable. BH-adjusted p-value is shown for reference only and is not used by the final class label.,0.01977136476878827,0.11204218088262531,0.39977429072478105,-0.03391559200260352,0.0174148456320752,0.2649352912348671,0.3813237352529494,0.4993001399720056,0.4187061615016622,61.8876224755049,2,6056,0.00047,True,run_20260404T003822Z_pid31514,2.0,12.175000000000006,3.5,5.5,132.0,underactive,Too few trades for strong statistical power. Consider reviewing thresholds or sample length.
trend_momentum_verification,Random / Luck,Random / Luck,Low,random / luck,stable,The result is statistically consistent with the null distribution. raw p=0.282; BH-adjusted p=0.499; percentile=71.8; RCSI_z=0.206. Robustness stability: stable. BH-adjusted p-value is shown for reference only and is not used by the final class label.,0.7383646747228514,0.25360289264265345,0.14551000583490542,-0.433201760971647,0.2602264029940125,0.2055961365558347,0.2823435312937412,0.4993001399720056,0.5492221578318829,71.78564287142571,63,6056,0.00047,True,run_20260404T003822Z_pid31514,63.0,0.2463466726618705,15.841269841269842,22.904761904761905,549.7142857142857,underactive,Too few trades for strong statistical power. Consider reviewing thresholds or sample length.
adx_trend_following,Random / Luck,Random / Luck,Low,random / luck,stable,The result is statistically consistent with the null distribution. raw p=0.266; BH-adjusted p=0.499; percentile=73.5; RCSI_z=0.292. Robustness stability: stable. BH-adjusted p-value is shown for reference only and is not used by the final class label.,0.7779990574858668,0.26509719333771364,0.15368258233397236,-0.48068902702400407,0.326370603322242,0.2915945130300356,0.2655468906218756,0.4993001399720056,0.5758587795156691,73.46530693861227,71,6056,0.00047,True,run_20260404T003822Z_pid31514,71.0,0.270945649448345,13.901408450704226,20.12676056338028,483.0422535211268,underactive,Too few trades for strong statistical power. Consider reviewing thresholds or sample length.
uptrend_oversold_reversion,Random / Luck,Random / Luck,Low,random / luck,stable,The result is statistically consistent with the null distribution. raw p=0.321; BH-adjusted p=0.499; percentile=68.0; RCSI_z=0.282. Robustness stability: stable. BH-adjusted p-value is shown for reference only and is not used by the final class label.,0.2261801622498949,0.1656400574900505,0.11650372034172546,-0.18675816809480617,0.1235778876803727,0.2816965354707781,0.3205358928214357,0.4993001399720056,0.49412333219352295,67.96640671865627,48,6056,0.00047,True,run_20260404T003822Z_pid31514,48.0,0.1872596770058959,5.125,7.354166666666667,176.5,underactive,Too few trades for strong statistical power. Consider reviewing thresholds or sample length.
volatility_squeeze_breakout,Random / Luck,Random / Luck,Low,random / luck,stable,The result is statistically consistent with the null distribution. raw p=0.323; BH-adjusted p=0.499; percentile=67.7; RCSI_z=0.299. Robustness stability: stable. BH-adjusted p-value is shown for reference only and is not used by the final class label.,0.21547405979980438,0.17665548037751602,0.18007192077665843,-0.2365054746526276,0.1194782194482783,0.2994692998303918,0.3227354529094181,0.4993001399720056,0.4911533241616162,67.74645070985802,24,6056,0.00047,True,run_20260404T003822Z_pid31514,24.0,0.086154027597594,8.708333333333334,12.75,306.0,underactive,Too few trades for strong statistical power. Consider reviewing thresholds or sample length.
connors_rsi2_pullback,Negative Skill,Negative Skill,Low,negative skill,stable,The result is worse than the random null on all three metrics. raw p=0.787; BH-adjusted p=0.865; percentile=21.4; RCSI_z=-0.765. Robustness stability: stable. BH-adjusted p-value is shown for reference only and is not used by the final class label.,-0.2035166237538697,-0.16896654454862853,-0.11301186113655949,-0.3536395724093959,-0.2558338189040459,-0.765177942504047,0.7866426714657069,0.8653069386122775,0.10422249896434983,21.355728854229152,57,6056,0.00047,True,run_20260404T003822Z_pid31514,57.0,0.2158150889414106,2.8947368421052633,4.245614035087719,101.89473684210526,underactive,Too few trades for strong statistical power. Consider reviewing thresholds or sample length.
donchian_trend_reentry,Random / Luck,Random / Luck,Low,random / luck,moderately variable,The result is statistically consistent with the null distribution. raw p=0.409; BH-adjusted p=0.499; percentile=59.2; RCSI_z=-0.058. Robustness stability: moderately variable. BH-adjusted p-value is shown for reference only and is not used by the final class label.,0.24309856884774206,0.14534333424710671,0.11000929436979645,-0.3684369972972993,-0.0467337988545304,-0.0583855789024433,0.4085182963407318,0.4993001399720056,0.38878848791522025,59.16816636672666,46,6056,0.00047,True,run_20260404T003822Z_pid31514,46.0,0.1852017195767195,13.847826086956522,19.73913043478261,473.7391304347826,underactive,Too few trades for strong statistical power. Consider reviewing thresholds or sample length.
turn_of_month_seasonality,Random / Luck,Random / Luck,Low,random / luck,moderately variable,The result is statistically consistent with the null distribution. raw p=0.357; BH-adjusted p=0.499; percentile=64.3; RCSI_z=0.067. Robustness stability: moderately variable. BH-adjusted p-value is shown for reference only and is not used by the final class label.,0.38574632803993003,0.17811869817722203,0.06893088662947683,-0.4619573849115167,0.0583925851101169,0.0673077213962103,0.3569286142771445,0.4993001399720056,0.4474186340994558,64.32713457308539,141,6056,0.00047,True,run_20260404T003822Z_pid31514,141.0,0.4912645947802197,4.432624113475177,6.333333333333333,152.0,underactive,Too few trades for strong statistical power. Consider reviewing thresholds or sample length.
random,Negative Skill,Negative Skill,Low,negative skill,unstable,The result is worse than the random null on all three metrics. raw p=0.959; BH-adjusted p=0.959; percentile=4.1; RCSI_z=-0.772. Robustness stability: unstable. BH-adjusted p-value is shown for reference only and is not used by the final class label.,-0.6797829774483719,-0.03709800335581393,-0.01950954839603297,-0.8551942263948905,-2.1402945564602085,-0.772135090526851,0.9592081583683264,0.9592081583683264,0.018087136081770594,4.0991801639672065,226,6056,0.00047,True,run_20260404T003822Z_pid31514,226.0,0.7832925301753587,11.597345132743364,17.0,408.0,acceptable,Trade activity is in a reasonable range for daily research and null-hypothesis testing.
buy_and_hold,Benchmark,Benchmark Reference,Not Applicable,benchmark,not_applicable,Passive benchmark included for strategy context; not evaluated against the Monte Carlo skill-vs-luck null.,3.1445196541303284,0.3465916997642541,,-0.9150664139113448,,,,,,,,6176,0.00047,,,,,,,,,
